name,poi
BELDEN TIMOTHY N,0.2647448275862069
BOWEN JR RAYMOND M,0.3299114942528735
HANNON KEVIN P,0.5299281609195403
DELAINEY DAVID W,0.06
CAUSEY RICHARD A,0.3716666666666667
HICKERSON GARY J,0.33716639621365785
FREVERT MARK A,0.5016666666666666
CHAN RONNIE,0.01
DONAHUE JR JEFFREY M,0.17109534358207895
REYNOLDS LAWRENCE,0.06582633053221289
HORTON STANLEY C,0.17523809523809525
LEWIS RICHARD,0.0
SHERRICK JEFFREY B,0.04
MEYER JEROME J,0.0
DERRICK JR. JAMES V,0.3633333333333333
PIRO JIM,0.0
DETMERING TIMOTHY J,0.03423384932920536
KISHKILL JOSEPH G,0.22157894736842101
BAY FRANKLIN R,0.09716718266253871
PRENTICE JAMES,0.0
TOTAL,0.61
FALLON JAMES B,0.32733333333333337
METTS MARK,0.07558823529411764
WODRASKA JOHN,0.020588235294117643
MORDAUNT KRISTINA M,0.0121671826625387
CARTER REBECCA C,0.04926639621365787
BHATNAGAR SANJAY,0.04392156862745098
WALTERS GARETH W,0.005
BIBI PHILIPPE A,0.15440710828796125
SHERRIFF JOHN R,0.21166666666666664
GIBBS DANA R,0.0
LINDHOLM TOD A,0.045738611233967275
MCMAHON JEFFREY,0.3287333333333333
